City;Sales;Profit;lat;lng
Aberdeen;25.5;6.63;45.4649;-98.4686
Aberdeen;25.5;6.63;46.9757;-123.8094
Aberdeen;25.5;6.63;39.5151;-76.1733
Aberdeen;25.5;6.63;35.135;-79.4326
Aberdeen;25.5;6.63;33.8287;-88.5539
Aberdeen;25.5;6.63;42.9441;-112.8384
Aberdeen;25.5;6.63;41.4418;-87.1167
Aberdeen;25.5;6.63;38.6713;-83.7704
Abilene;1.392;-3.7584;32.4543;-99.7384
Abilene;1.392;-3.7584;38.923;-97.2252
Akron;2729.986;-186.6356;41.0798;-81.5219
Akron;2729.986;-186.6356;40.158;-76.2031
Akron;2729.986;-186.6356;43.018;-78.4978
Akron;2729.986;-186.6356;40.1635;-103.2202
Akron;2729.986;-186.6356;42.8268;-96.5572
Akron;2729.986;-186.6356;41.0388;-86.0249
Akron;2729.986;-186.6356;43.5667;-83.5143
Akron;2729.986;-186.6356;32.8785;-87.7429
Albuquerque;2220.16;634.0880999999999;35.1054;-106.6465
Alexandria;5519.57;318.61830000000003;38.8185;-77.0861
Alexandria;5519.57;318.61830000000003;31.2923;-92.4702
Alexandria;5519.57;318.61830000000003;45.8776;-95.3767
Alexandria;5519.57;318.61830000000003;38.9621;-84.3859
Alexandria;5519.57;318.61830000000003;40.263;-85.6737
Alexandria;5519.57;318.61830000000003;33.7675;-85.8792
Alexandria;5519.57;318.61830000000003;36.0791;-86.0382
Alexandria;5519.57;318.61830000000003;43.6541;-97.7798
Alexandria;5519.57;318.61830000000003;40.09;-82.6118
Alexandria;5519.57;318.61830000000003;40.5583;-78.0997
Alexandria;5519.57;318.61830000000003;40.2475;-97.3878
Alexandria;5519.57;318.61830000000003;40.3598;-91.4595
Allen;290.206;-39.8775;33.1088;-96.6735
Allen;290.206;-39.8775;34.8776;-96.4129
Allen;290.206;-39.8775;43.2792;-101.9265
Allen;290.206;-39.8775;42.4144;-96.8431
Allen;290.206;-39.8775;38.655;-96.1697
Allen;290.206;-39.8775;41.9581;-84.768
Allen;290.206;-39.8775;37.6119;-82.7291
Allen;290.206;-39.8775;38.2894;-75.6904
Allentown;853.252;-226.4504;40.5961;-75.4756
Allentown;853.252;-226.4504;40.1778;-74.5873
Allentown;853.252;-226.4504;30.7745;-87.0822
Allentown;853.252;-226.4504;32.5855;-83.2273
Altoona;20.451;-1.1835;40.5082;-78.4007
Altoona;20.451;-1.1835;41.6483;-93.4783
Altoona;20.451;-1.1835;44.8029;-91.4385
Altoona;20.451;-1.1835;34.0308;-86.3179
Altoona;20.451;-1.1835;37.5249;-95.6615
Altoona;20.451;-1.1835;46.2699;-123.6144
Altoona;20.451;-1.1835;28.9681;-81.6482
Amarillo;3773.0628;-387.9683;35.1984;-101.8316
Anaheim;7986.87;1234.0036;33.839;-117.8574
Andover;435.84999999999997;124.1886;45.2571;-93.3265
Andover;435.84999999999997;124.1886;37.6873;-97.1352
Andover;435.84999999999997;124.1886;41.6066;-80.5686
Andover;435.84999999999997;124.1886;41.2949;-90.2907
Andover;435.84999999999997;124.1886;41.9801;-90.2528
Andover;435.84999999999997;124.1886;45.4102;-97.9037
Ann Arbor;889.273;228.9158;42.2759;-83.731
Antioch;19.44;9.3312;37.9787;-121.796
Antioch;19.44;9.3312;42.4742;-88.0721
Antioch;19.44;9.3312;32.679;-85.0577
Antioch;19.44;9.3312;40.2273;-86.5056
Antioch;19.44;9.3312;39.661;-81.0669
Apopka;904.554;54.3634;28.7015;-81.5316
Apple Valley;2053.0209999999997;292.589;34.5352;-117.2109
Apple Valley;2053.0209999999997;292.589;44.7457;-93.2004
Apple Valley;2053.0209999999997;292.589;40.4389;-82.3481
Apple Valley;2053.0209999999997;292.589;37.081;-113.1034
Apple Valley;2053.0209999999997;292.589;46.8209;-100.5993
Appleton;1671.31;554.7663;44.278;-88.3892
Appleton;1671.31;554.7663;45.1998;-96.0225
Appleton;1671.31;554.7663;35.4185;-92.8724
Arlington;20214.532000000003;4169.6969;32.6998;-97.125
Arlington;20214.532000000003;4169.6969;38.8786;-77.1011
Arlington;20214.532000000003;4169.6969;48.1701;-122.1442
Arlington;20214.532000000003;4169.6969;35.2594;-89.668
Arlington;20214.532000000003;4169.6969;44.6083;-94.0768
Arlington;20214.532000000003;4169.6969;41.6965;-73.8989
Arlington;20214.532000000003;4169.6969;40.8937;-83.6529
Arlington;20214.532000000003;4169.6969;41.4548;-96.3565
Arlington;20214.532000000003;4169.6969;31.4383;-84.7253
Arlington;20214.532000000003;4169.6969;43.3351;-89.3726
Arlington;20214.532000000003;4169.6969;44.3635;-97.1338
Arlington;20214.532000000003;4169.6969;45.7207;-120.1887
Arlington;20214.532000000003;4169.6969;37.8962;-98.178
Arlington;20214.532000000003;4169.6969;39.6458;-85.5797
Arlington;20214.532000000003;4169.6969;42.7488;-91.671
Arlington;20214.532000000003;4169.6969;36.7904;-89.0132
Arlington;20214.532000000003;4169.6969;41.4716;-89.2478
Arlington;20214.532000000003;4169.6969;33.3346;-112.7747
Arlington;20214.532000000003;4169.6969;41.6053;-106.1997
Arlington Heights;14.112;1.2348;42.0955;-87.9826
Arlington Heights;14.112;1.2348;41.0041;-75.2112
Arlington Heights;14.112;1.2348;48.2119;-122.063
Arlington Heights;14.112;1.2348;39.2154;-84.4556
Arvada;503.4;59.8556;39.832;-105.151
